BMAC_or_Oxus_Civilization:I10410,0.073985,0.078196,-0.111251,-0.001615,-0.095402,0.022032,0.00893,-0.010615,-0.056449,-0.04811,-0.002273,0.004046,-0.011298,-0.010735,0.019001,0.041235,0.003781,0.004814,0.002263,-0.012381,-0.00861,-0.002349,-0.003451,-0.009037,0.015687
BMAC_or_Oxus_Civilization:I10411,0.079676,0.079211,-0.126335,0.013566,-0.107097,0.032351,0.022796,0.005769,-0.080582,-0.049568,0.00341,-0.006444,-0.002379,-0.002615,0.02728,0.031556,0.015255,-0.007855,0.006285,-0.022011,-0.002496,-0.015828,-0.012325,-0.016508,0.007305
BMAC_or_Oxus_Civilization:I1781,0.076261,0.083273,-0.112005,-0.005168,-0.092325,0.019522,0.015041,-0.007615,-0.067084,-0.035536,-0.005684,-0.006894,-0.009812,-0.012248,0.029316,0.012729,-0.022817,-0.002534,0.006411,-0.037143,0.000125,-0.016693,-0.006409,-0.011809,0.011735
BMAC_or_Oxus_Civilization:I1782,0.088782,0.073118,-0.101823,0.016796,-0.10525,0.029005,0.004935,-0.013846,-0.068311,-0.039181,-0.012504,0.000749,-0.005946,-0.00578,0.016829,0.0297,-0.012778,-0.003547,-0.003142,-0.02076,-0.005116,-0.018053,-0.013188,-0.004579,0.012334
BMAC_or_Oxus_Civilization:I1784,0.076261,0.070072,-0.112382,0.00969,-0.103712,0.023427,0.013161,-0.004846,-0.061971,-0.032438,-0.002436,0.007793,-0.000892,-0.004542,0.017915,0.023601,-0.004563,0.005954,0.009804,-0.023886,0.006239,-0.011129,-0.007272,-0.023738,0.013053
BMAC_or_Oxus_Civilization:I1788,0.081953,0.07718,-0.115399,-0.009044,-0.096941,0.013666,-0.002585,-0.004384,-0.070356,-0.036629,-0.006658,-0.004796,-0.003271,0.00523,0.011129,0.017767,-0.008996,-0.004941,-0.000251,-0.020135,-0.003619,-0.007048,0.001849,-0.018075,0.018202
BMAC_or_Oxus_Civilization:I1790,0.072847,0.080227,-0.119547,0.010982,-0.103096,0.011435,0.00705,-0.006,-0.057471,-0.031345,-0.001137,-0.002398,0.001635,-0.007432,0.022665,0.018828,-0.011604,-0.00038,0.014581,-0.026513,-0.007612,-0.012984,-0.002711,-0.012291,0.010179
BMAC_or_Oxus_Civilization:I1793,0.097888,0.067025,-0.112382,0.015827,-0.072013,0.019243,0.004465,-0.009923,-0.053176,-0.032985,-0.001624,0.019483,-0.005946,-0.018717,-0.00095,0.021347,-0.005867,-0.003041,0.004022,-0.012006,0.008111,-0.014591,0.00419,-0.009278,0.000359
BMAC_or_Oxus_Civilization:I2085,0.081953,0.09546,-0.07995,0.001615,-0.100634,0.010598,-0.004935,-0.013153,-0.066266,-0.043008,0.000325,0.013638,-0.006838,-0.019267,0.01045,0.033413,0.011604,-0.005194,0.000126,-0.022386,0.004367,-0.013725,0.011462,-0.015183,0.001916
BMAC_or_Oxus_Civilization:I2116,0.087644,0.087336,-0.120679,0.00646,-0.102788,0.026495,0.002585,-0.006692,-0.059516,-0.050844,-0.004222,0.002398,-0.003122,0.001789,0.016829,0.006099,-0.012126,0.003927,0.009553,-0.028138,-0.001996,-0.020897,-0.006532,-0.021449,0.018801
