Anatolia_BA:TUR_Kaman-Kalehoyuk_MLBA:BC_1850___k4c,0.104148,0.150806,-0.045066,-0.0825265,-0.0052315,-0.026076,-0.0031725,-0.0070385,-0.010635,0.029158,0.008282,0.0068185,-0.0113725,0.0020645,-0.0138435,-0.0025195,0.0104305,-0.0015835,0.0084215,-0.005503,-0.003369,0.007234,-0.00493,0.003193,-0.001437
Anatolia_BA:I2495,0.10186744,0.14429554,-0.03648972,-0.06214748,-0.00218286,-0.02367136,-0.0005025,-0.004834,-0.0004034,0.01935608,0.00025626,0.0027178,-0.00561458,-0.00108576,-0.00880294,0.0015778,-0.00069286,0.00028194,0.00154192,-0.00250204,0.00144868,0.00343938,-0.00213556,-0.00513026,0.00278164
Anatolia_BA:I7073,0.0460028,0.14085664,-0.02689508,-0.07834416,0.0083648,-0.03531176,-0.00863644,0.00107792,0.03434848,0.02103944,0.0069906,-0.00880148,0.0207942,-0.00311072,0.0018644,0.00576876,-0.00457208,-0.00153324,-0.0103628,0.01356944,0.00751344,0.00284368,0.00010196,-0.0043766,-0.00466324
Anatolia_BA:Anatolia_BA:TUR_Ovaoren_EBA:BC_2750_k3c,0.099026,0.151314,-0.043369,-0.076874,-0.004001,-0.024542,-0.00141,-0.009,-0.011453,0.027882,0.009094,0.004496,-0.013528,-0.009634,-0.013029,0.001061,0.01017,0.004181,0.005028,-0.000625,0.000374,0.005812,-0.002465,0.000843,-0.006945
Anatolia_BA:Anatolia_BA:TUR_Aegean_Izmir_Yassitepe_EBA:BC3000_2800_k2,0.1075625,0.155376,-0.0328095,-0.0725135,0.0066165,-0.0262155,0.00235,-0.0107305,-0.0029655,0.0305245,0.0014615,0.0083175,-0.012859,-0.000344,-0.016558,-0.004044,0.0093225,-0.001457,0.010496,-0.0044395,-0.009858,0.0016075,-0.005854,0.000904,-0.009939
Anatolia_BA:TUR_Kaman-Kalehoyuk_MLBA_low_res,0.103579,0.15436,-0.035449,-0.076228,-0.001539,-0.01506,0.021151,0.002538,-0.000818,0.010752,-0.004384,0.017684,-0.003271,0.020231,-0.008007,-0.006629,-0.014864,0.004561,0.010936,-0.008254,-0.000624,-0.002844,0.005916,-0.001687,-0.007185
Anatolia_BA:TUR_Kaman-Kalehoyuk_MLBA:MA2200,0.102441,0.155376,-0.046386,-0.078166,-0.00677,-0.027052,-0.00282,-0.003,-0.011044,0.023691,0.008769,0.009891,-0.011001,0.00234,-0.014522,-0.015513,0.008866,-0.002407,0.006536,-0.003502,-0.004742,-0.000618,-0.002711,-0.000723,-0.00934
Anatolia_BA:TUR_Kaman-Kalehoyuk_MLBA:MA2203,0.100164,0.150298,-0.02753,-0.073967,0.004001,-0.024821,-0.006345,-0.006923,-0.001636,0.031709,0.007795,0.006294,-0.011744,-0.002202,-0.013165,0.002652,0.011995,0.001647,0.010307,-0.019384,-0.009982,0.010881,-0.004067,0.005422,-0.001557
Anatolia_BA:TUR_Kaman-Kalehoyuk_MLBA:MA2205,0.111547,0.149283,-0.051666,-0.09044,-0.003693,-0.0251,0.003055,-0.007154,-0.022702,0.028247,0.005034,0.007343,-0.005649,0.010459,-0.015472,-0.001326,0.017211,-0.007095,0.005908,0.00075,-0.001996,0.006554,-0.005793,0.000964,0.006586
Anatolia_BA:TUR_Kaman-Kalehoyuk_MLBA:MA2206,0.105855,0.151314,-0.043746,-0.086887,-0.009848,-0.032909,-0.003525,-0.014076,-0.010226,0.030069,0.017376,0.004496,-0.019921,0.001789,-0.012215,-0.003713,0.008605,-0.00076,0.012444,-0.007504,0.003993,0.007914,-0.006655,0.006627,-0.001317
