,West Asian,East Med,West Med,South Asian,Red Sea,Baltic,North Atlantic,Siberian,Amerindian,East Asian,Oceanian,Northeast African,Sub-Saharan
Palestinian,16.62,43.55,10.74,1.56,16.13,0.23,3.85,0.14,0.45,0.42,0.03,4.89,1.37
Papuan,0.02,0.02,0.02,2.35,0.07,0.02,0.03,0.49,0.22,1.77,94.58,0.20,0.20
Pathan,37.28,4.70,0.23,39.03,0.50,10.13,3.25,2.24,1.74,0.27,0.17,0.09,0.39
Pima,0.24,0.25,0.94,0.73,0.14,1.32,0.69,5.18,89.13,0.99,0.23,0.02,0.14
Piramalai,17.16,1.06,0.06,75.15,0.76,0.10,0.17,0.50,0.71,1.66,1.82,0.66,0.20
Polish,6.56,6.22,11.08,1.02,0.35,42.03,30.66,0.97,0.07,0.45,0.25,0.12,0.22
Portuguese,2.43,13.90,25.32,0.42,3.63,11.51,38.54,0.25,0.44,0.14,0.67,1.72,1.04
Punjabi_Jat,35.03,0.74,0.07,43.05,0.59,10.46,7.52,0.41,1.30,0.07,0.33,0.07,0.38
Romanian,11.28,18.04,17.09,0.55,2.14,24.49,24.37,0.83,0.60,0.27,0.18,0.09,0.06
Russian,6.40,4.25,10.74,1.23,0.22,47.07,25.61,2.74,0.31,0.56,0.42,0.11,0.34
Sakilli,12.79,0.43,0.98,76.82,1.37,0.02,0.07,0.21,0.05,3.51,2.40,0.79,0.56
Samaritan,18.39,45.52,16.45,0.98,13.82,0.36,1.69,0.10,0.00,0.08,0.26,2.35,0.00
San,0.63,0.11,0.02,0.07,0.19,0.03,0.09,0.02,0.03,0.01,0.68,39.70,58.43
Sandawe,0.04,7.61,0.73,0.15,5.09,0.06,0.15,0.10,0.02,0.28,0.49,48.50,36.79
Sardinian,0.05,21.49,51.87,0.00,1.97,1.59,22.36,0.06,0.00,0.00,0.37,0.17,0.07
Saudi,10.01,42.83,5.91,1.72,34.19,0.18,0.17,0.09,0.11,0.34,0.19,4.08,0.17
Selkup,3.81,0.00,0.00,2.68,0.00,25.06,1.71,59.31,6.05,0.95,0.40,0.00,0.02
Sephardic_Jewish,13.04,36.91,19.83,0.61,8.90,1.81,15.63,0.78,0.00,0.38,0.33,1.12,0.65
Serbian,9.37,15.63,15.84,0.33,2.50,27.32,27.10,0.75,0.03,0.57,0.38,0.11,0.06
She,0.15,0.05,0.08,0.30,0.23,0.16,0.14,14.06,0.08,84.56,0.03,0.07,0.10
Shors,10.03,0.03,0.01,4.38,0.02,17.04,6.43,42.52,5.70,13.37,0.17,0.04,0.25
Sindhi,39.57,3.85,0.06,45.20,0.51,3.82,3.30,0.58,1.41,0.17,0.43,0.48,0.62
Somali,0.00,11.03,1.40,0.00,24.66,0.00,0.01,0.13,0.07,0.08,0.04,56.35,6.23
South_Italian,14.44,31.89,21.80,0.50,6.61,4.52,17.55,0.00,0.01,0.35,0.35,1.56,0.42
Southeast_English,4.46,5.09,13.98,1.08,0.09,23.27,50.52,0.06,0.62,0.04,0.62,0.12,0.04
Southwest_English,4.92,2.70,15.10,0.88,0.95,22.10,51.98,0.05,0.15,0.12,0.59,0.28,0.16
Southwest_Finnish,1.93,1.34,6.96,0.69,0.49,43.46,38.50,4.96,1.10,0.10,0.25,0.14,0.08
Southwest_French,1.36,8.85,30.54,0.33,1.65,13.57,42.35,0.62,0.64,0.05,0.01,0.02,0.00
Spanish_Andalucia,3.83,14.11,29.07,0.60,1.95,8.19,39.07,0.63,0.02,0.29,0.40,1.28,0.57
Spanish_Aragon,1.32,12.05,29.79,0.40,2.37,8.27,43.83,0.50,0.32,0.25,0.39,0.46,0.04
Spanish_Cantabria,1.75,10.20,29.27,0.45,2.37,11.49,41.80,0.13,0.49,0.03,0.47,0.80,0.75
Spanish_Castilla_La_Mancha,2.72,12.42,28.52,0.47,2.88,9.37,41.09,0.21,0.31,0.22,0.08,1.42,0.29
Spanish_Castilla_Y_Leon,1.86,12.82,26.09,0.04,3.49,11.13,40.76,0.05,0.28,0.51,0.18,2.01,0.78
Spanish_Cataluna,3.08,13.09,25.78,0.69,1.51,12.13,41.36,0.06,0.06,0.59,0.43,0.45,0.77
Spanish_Extremadura,3.32,13.73,26.84,0.65,4.26,9.67,38.27,0.00,0.62,0.00,0.20,1.23,1.22
Spanish_Galicia,1.97,11.93,26.23,1.49,4.55,12.18,38.51,0.22,0.14,0.36,0.00,1.26,1.16
Spanish_Murcia,2.21,14.57,26.12,0.21,2.92,9.33,40.15,0.67,0.60,0.88,0.11,1.44,0.78
Spanish_Valencia,1.90,14.85,27.71,0.88,1.32,10.58,40.54,0.04,0.41,0.29,0.50,0.31,0.65
Sudanese,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.81,42.16
Swedish,5.20,1.35,9.25,0.72,0.51,31.09,48.53,0.83,0.68,0.38,0.71,0.21,0.55
Syrian,21.61,37.82,13.31,3.44,13.75,0.83,3.40,0.19,0.24,0.23,0.48,2.93,1.77
Tadjik,35.25,7.16,1.29,17.84,1.38,10.43,10.93,9.04,1.48,4.62,0.05,0.23,0.31
Tibeto-Burman_Burmese,0.70,0.54,1.02,18.39,0.31,0.81,0.32,13.69,0.79,60.72,1.64,0.24,0.84
Tu,2.57,0.61,0.67,1.92,0.33,0.56,0.74,29.03,0.81,61.90,0.53,0.08,0.26
Tujia,0.07,0.09,0.20,0.23,0.03,0.06,0.08,17.07,0.15,81.06,0.54,0.22,0.21
Turkish,30.83,28.97,12.01,4.05,5.46,4.32,7.12,3.63,0.28,2.41,0.56,0.34,0.01
Turkmen,32.73,19.76,2.52,11.21,1.31,5.91,7.21,10.08,1.88,6.87,0.32,0.08,0.11
Tuscan,8.83,24.59,23.79,0.24,4.29,10.01,27.18,0.29,0.00,0.01,0.50,0.17,0.09
Tuvinian,4.02,0.24,0.57,1.60,0.55,7.30,2.35,56.58,2.50,23.23,0.71,0.05,0.29
Ukrainian,6.12,5.68,12.05,1.09,0.16,43.57,27.77,1.41,0.78,0.91,0.28,0.11,0.07
Ukrainian_Northeast,8.78,5.54,7.85,1.10,0.58,47.29,25.78,1.02,0.59,0.71,0.25,0.16,0.34
Ukrainian_West,7.10,5.29,11.96,1.20,1.79,41.85,27.35,1.36,0.82,0.39,0.75,0.00,0.13
Uttar_Pradesh,15.83,0.42,1.36,69.01,0.72,3.28,2.94,1.41,0.69,2.79,0.98,0.31,0.26
Uygur,18.93,4.66,0.87,10.42,0.18,9.70,7.18,20.48,2.35,24.33,0.42,0.26,0.21
Uzbeki,20.42,6.92,1.72,11.85,1.05,11.98,4.87,23.17,1.39,15.99,0.11,0.35,0.19
Velamas,21.78,2.62,0.13,70.10,0.26,0.19,0.15,0.89,0.31,1.58,1.27,0.38,0.35
Vietnamese,0.14,0.05,0.02,5.11,0.24,1.24,0.05,5.20,0.16,86.45,1.06,0.16,0.12
West_Greenlander,0.80,0.01,0.02,2.80,0.01,12.23,1.90,38.66,37.10,6.23,0.06,0.14,0.04
West_Scottish,5.56,1.72,12.31,1.14,0.88,23.35,53.18,0.47,0.80,0.05,0.34,0.08,0.12
Xibo,1.72,0.85,0.30,0.12,0.14,0.29,0.62,39.46,0.35,55.61,0.26,0.25,0.04
Yakut,1.67,0.21,1.61,1.13,0.56,3.45,0.56,74.18,0.52,15.25,0.67,0.17,0.01
Yemenite_Jewish,6.28,52.36,5.52,0.71,28.49,0.00,0.23,0.23,0.19,0.06,0.25,5.68,0.00
Yizu,0.08,0.01,0.04,3.29,0.10,0.03,0.04,23.74,0.48,70.40,1.45,0.13,0.20
Yoruban,0.20,0.13,0.11,0.07,0.91,0.05,0.05,0.08,0.08,0.11,0.10,2.91,95.19
