Ethnicity,Dataset,N,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
,,,S Indian,Baloch,Caucasian,NE Euro,SE Asian,Siberian,NE Asian,Papuan,American,Beringian,Mediterranean,SW Asian,San,E African,Pygmy,W African
colombian,bryc,26,0%,4%,5%,15%,0%,0%,0%,0%,33%,0%,28%,4%,0%,1%,0%,8%
colombian,hgdp,7,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
cypriot,behar,12,0%,7%,49%,6%,0%,0%,0%,0%,0%,0%,19%,17%,0%,0%,0%,0%
dai,hgdp,10,0%,0%,0%,0%,71%,0%,28%,0%,0%,0%,0%,0%,0%,0%,0%,0%
dai-chinese,1000genomes,91,0%,0%,0%,0%,69%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%
daur,hgdp,9,0%,0%,1%,0%,3%,32%,60%,0%,0%,2%,0%,0%,0%,0%,0%,0%
dharkar,metspalu,11,53%,34%,1%,5%,1%,1%,1%,0%,0%,1%,2%,1%,0%,0%,0%,0%
dhurwa,metspalu,1,73%,0%,0%,0%,20%,1%,0%,4%,1%,1%,0%,0%,0%,0%,0%,0%
dogon,xing,24,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,98%
dolgan,rasmussen,7,1%,2%,2%,10%,1%,69%,10%,0%,0%,1%,2%,1%,0%,0%,0%,0%
dominican,bryc,27,0%,3%,6%,15%,0%,0%,0%,0%,7%,0%,22%,5%,0%,2%,2%,37%
druze,hgdp,42,2%,5%,58%,2%,0%,0%,0%,0%,0%,0%,9%,21%,0%,1%,0%,0%
dusadh,metspalu,6,60%,31%,1%,2%,2%,0%,1%,1%,0%,1%,1%,0%,0%,0%,0%,0%
east-greenlander,rasmussen,8,0%,1%,1%,9%,0%,0%,0%,0%,9%,77%,4%,0%,0%,0%,0%,0%
ecuadorian,bryc,19,1%,3%,5%,11%,1%,0%,1%,0%,50%,0%,19%,3%,0%,1%,0%,5%
egypt,henn2012,19,1%,3%,28%,1%,0%,0%,0%,0%,0%,0%,17%,33%,0%,11%,1%,5%
egyptian,behar,12,0%,3%,30%,0%,0%,0%,0%,0%,0%,0%,13%,33%,0%,12%,0%,6%
esomali,pagani,17,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,4%,28%,0%,63%,0%,0%
ethiopian,behar,19,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,4%,35%,3%,51%,1%,0%
ethiopian-jew,behar,12,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,4%,35%,3%,50%,0%,0%
evenki,rasmussen,14,0%,1%,1%,1%,1%,80%,13%,0%,0%,1%,1%,0%,0%,0%,0%,0%
fang,henn2012,15,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,5%,10%,82%
fiji-indian,harappa,1,43%,30%,3%,8%,2%,0%,4%,1%,1%,1%,5%,1%,1%,0%,0%,0%
finnish,1000genomes,100,1%,1%,2%,80%,0%,6%,0%,0%,0%,1%,5%,5%,0%,0%,0%,0%
french,hgdp,28,0%,9%,10%,42%,0%,0%,0%,0%,0%,0%,36%,2%,0%,0%,0%,0%
fulani,henn2012,12,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,19%,10%,0%,10%,0%,59%
gadaba,chaubey,1,65%,0%,0%,0%,30%,1%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%
garo,chaubey,4,20%,0%,0%,0%,26%,6%,45%,1%,0%,0%,0%,0%,0%,0%,0%,0%
georgia-jew,behar,4,0%,16%,52%,2%,1%,0%,0%,0%,0%,0%,8%,19%,0%,0%,0%,0%
georgian,behar,20,0%,17%,72%,6%,0%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%
georgian,harappa,4,0%,20%,62%,6%,0%,0%,1%,1%,0%,1%,2%,6%,0%,0%,0%,0%
goan,harappa,1,48%,39%,6%,4%,0%,0%,1%,1%,0%,1%,1%,0%,0%,0%,0%,0%
gond,metspalu,4,66%,17%,1%,2%,9%,1%,0%,2%,0%,1%,0%,0%,0%,0%,0%,0%
great-andamanese,reich,4,48%,4%,2%,3%,16%,4%,9%,8%,1%,2%,1%,1%,0%,1%,0%,0%
gujarati,harappa,4,46%,37%,4%,5%,0%,0%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%
gujarati-a,1000genomes,5,53%,41%,1%,1%,0%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%
gujarati-a,hapmap,63,54%,42%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%
gujarati-b,hapmap,34,44%,39%,5%,7%,0%,0%,0%,0%,1%,0%,1%,1%,0%,0%,0%,0%
gujarati-muslim,harappa,3,33%,36%,13%,5%,1%,0%,1%,1%,1%,1%,2%,4%,0%,1%,0%,0%
gujarati-patel,harappa,2,55%,41%,0%,0%,0%,0%,1%,1%,0%,0%,2%,0%,0%,0%,0%,0%
gumuz,pagani,18,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,2%,1%,93%,3%,0%
hadza,henn2011,16,0%,0%,0%,2%,3%,0%,0%,0%,0%,0%,0%,5%,14%,59%,9%,6%
hakkipikki,metspalu,4,70%,21%,2%,0%,1%,0%,1%,1%,0%,1%,0%,1%,0%,0%,0%,0%
hallaki,reich,7,62%,28%,3%,1%,1%,0%,1%,0%,0%,1%,1%,1%,0%,0%,0%,0%
han,hgdp,34,0%,0%,0%,0%,33%,1%,66%,0%,0%,0%,0%,0%,0%,0%,0%,0%
han-chinese-south,1000genomes,92,0%,0%,0%,0%,33%,0%,66%,0%,0%,0%,0%,0%,0%,0%,0%,0%
han-nchina,hgdp,10,1%,1%,1%,1%,12%,6%,78%,0%,0%,0%,0%,0%,0%,0%,0%,0%
haryana-jatt,harappa,6,27%,37%,9%,17%,0%,1%,0%,1%,2%,1%,3%,0%,0%,0%,0%,0%
hausa,henn2012,12,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,1%,93%
hazara,harappa,1,7%,18%,13%,8%,2%,15%,25%,1%,1%,3%,4%,2%,0%,0%,0%,0%
hazara,hgdp,22,6%,20%,13%,9%,1%,18%,28%,1%,1%,1%,2%,1%,0%,0%,0%,0%
hema,xing,14,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,8%,3%,42%,6%,38%
hezhen,hgdp,9,0%,0%,0%,0%,4%,31%,60%,0%,0%,3%,0%,0%,0%,0%,0%,0%
ho,chaubey,5,70%,1%,0%,0%,23%,2%,0%,3%,0%,1%,0%,0%,0%,0%,0%,0%
hungarian,behar,19,0%,7%,15%,49%,0%,1%,0%,0%,0%,0%,24%,3%,0%,0%,0%,0%
iban,xing,25,5%,0%,0%,0%,87%,4%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%
igbo,henn2012,15,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,2%,95%
iranian,behar,19,4%,27%,39%,4%,0%,1%,1%,0%,0%,0%,5%,15%,0%,1%,0%,1%
iranian,harappa,11,4%,27%,40%,5%,1%,2%,1%,1%,0%,1%,5%,11%,0%,0%,0%,0%
iranian-jew,behar,4,0%,19%,50%,0%,1%,0%,0%,0%,0%,0%,7%,22%,0%,0%,0%,0%
iraq-jew,behar,10,1%,17%,49%,0%,0%,0%,0%,0%,0%,0%,9%,24%,0%,0%,0%,0%
iraqi-arab,harappa,4,4%,19%,38%,2%,0%,1%,1%,1%,0%,1%,8%,22%,0%,2%,1%,1%
iraqi-mandaean,harappa,2,1%,20%,48%,0%,0%,0%,0%,0%,1%,1%,7%,22%,0%,0%,0%,0%
irula,xing,22,83%,1%,13%,0%,0%,1%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%
italian,hgdp,13,0%,5%,22%,29%,0%,0%,0%,0%,0%,0%,37%,6%,0%,0%,0%,0%
iyengar-brahmin,harappa,8,47%,37%,4%,6%,1%,1%,0%,0%,0%,1%,1%,1%,0%,0%,0%,0%
iyer-brahmin,harappa,11,47%,37%,5%,5%,0%,0%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%
japanese,1000genomes,7,0%,0%,0%,0%,0%,1%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%
japanese,hapmap,113,0%,0%,0%,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%
japanese,hgdp,27,1%,0%,0%,0%,11%,11%,74%,1%,0%,1%,0%,0%,0%,0%,0%,0%
japanese,xing,12,2%,0%,0%,0%,0%,1%,95%,0%,0%,0%,0%,0%,0%,0%,0%,0%
jordanian,behar,20,1%,9%,39%,1%,0%,0%,0%,0%,0%,0%,12%,28%,0%,5%,0%,2%
juang,chaubey,2,63%,0%,0%,0%,31%,2%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%
kaba,henn2012,16,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14%,4%,81%
kalash,hgdp,23,22%,43%,18%,11%,0%,2%,0%,1%,1%,2%,0%,0%,0%,0%,0%,0%
kamsali,reich,4,66%,27%,1%,0%,1%,1%,2%,1%,1%,1%,0%,1%,0%,0%,0%,0%
kanjar,metspalu,7,55%,33%,1%,6%,1%,0%,1%,0%,0%,1%,2%,0%,0%,0%,0%,0%
karitiana,hgdp,12,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
karnataka,harappa,7,53%,34%,4%,1%,2%,1%,0%,1%,1%,1%,1%,1%,0%,0%,0%,0%
karnataka-brahmin,harappa,5,46%,35%,5%,6%,1%,1%,1%,1%,1%,0%,1%,1%,0%,0%,0%,0%
kashmiri,harappa,3,30%,37%,14%,9%,0%,1%,3%,1%,2%,1%,1%,1%,0%,0%,0%,0%
kashmiri-pahari,harappa,3,33%,40%,10%,8%,0%,1%,2%,1%,1%,1%,1%,2%,0%,0%,0%,0%
kashmiri-pandit,reich,5,32%,39%,12%,9%,0%,2%,1%,0%,1%,1%,1%,0%,0%,0%,0%,0%
kazakh,harappa,5,2%,10%,8%,14%,0%,29%,29%,0%,2%,2%,4%,0%,0%,0%,0%,0%
kerala,harappa,1,47%,33%,7%,2%,1%,0%,2%,2%,0%,2%,0%,3%,1%,0%,0%,0%
kerala-brahmin,harappa,1,43%,39%,4%,6%,1%,1%,2%,0%,0%,1%,0%,4%,0%,0%,0%,0%
kerala-christian,harappa,9,48%,34%,7%,2%,1%,1%,1%,1%,1%,1%,0%,3%,0%,0%,0%,0%
kerala-muslim,harappa,2,52%,31%,3%,2%,3%,1%,2%,2%,1%,1%,0%,3%,1%,0%,0%,0%
kerala-nair,harappa,4,48%,37%,4%,3%,0%,0%,2%,1%,1%,0%,1%,2%,0%,0%,0%,0%
ket,rasmussen,2,0%,7%,0%,22%,0%,57%,2%,0%,4%,8%,0%,0%,0%,0%,0%,0%
kharia,chaubey,2,68%,1%,0%,1%,26%,1%,0%,3%,1%,0%,0%,0%,0%,0%,0%,0%
kharia,reich,4,69%,0%,0%,0%,25%,1%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%
khasi,chaubey,3,30%,5%,2%,2%,29%,5%,23%,2%,1%,1%,0%,0%,0%,0%,0%,0%
khmer-cambodian,xing,3,13%,0%,0%,1%,63%,2%,17%,1%,0%,1%,0%,0%,0%,0%,0%,0%
kinh,1000genomes,96,2%,0%,0%,0%,62%,0%,35%,0%,0%,0%,0%,0%,0%,0%,0%,0%
kol,metspalu,16,61%,30%,1%,3%,1%,0%,1%,1%,0%,1%,1%,0%,0%,0%,0%,0%
kongo,henn2012,9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,5%,8%,86%
koryak,rasmussen,13,0%,1%,1%,5%,0%,20%,1%,0%,0%,70%,2%,0%,0%,0%,0%,0%
kumyk,yunusbayev,14,0%,21%,47%,16%,1%,4%,3%,0%,1%,1%,3%,3%,0%,0%,0%,0%
kurd,harappa,12,3%,26%,41%,5%,0%,1%,1%,1%,1%,1%,6%,13%,0%,1%,0%,0%
kurd,xing,24,1%,28%,44%,5%,0%,1%,0%,0%,1%,1%,5%,14%,0%,0%,0%,0%
kurd,yunusbayev,6,2%,27%,45%,6%,0%,0%,1%,0%,0%,0%,6%,13%,0%,0%,0%,0%
kurmi,metspalu,1,53%,37%,3%,3%,1%,0%,2%,0%,1%,0%,0%,0%,0%,0%,0%,0%
kurumba,metspalu,4,61%,31%,3%,0%,1%,1%,0%,1%,0%,1%,0%,1%,0%,0%,0%,0%
kurumba,reich,9,70%,20%,2%,0%,2%,1%,1%,2%,0%,1%,0%,1%,0%,0%,0%,0%
kyrgyz,harappa,1,4%,8%,7%,11%,1%,28%,30%,1%,1%,4%,2%,2%,0%,1%,0%,0%
kyrgyz,hodoglugil,16,2%,8%,8%,11%,1%,30%,34%,0%,2%,2%,3%,0%,0%,0%,0%,0%
kyrgyz,xing,25,2%,9%,8%,11%,1%,30%,32%,1%,1%,2%,1%,2%,0%,0%,0%,0%
lahu,hgdp,8,3%,0%,0%,0%,55%,3%,37%,1%,0%,0%,0%,0%,0%,0%,0%,0%
lambadi,metspalu,1,52%,34%,4%,3%,2%,0%,3%,1%,0%,0%,2%,0%,0%,0%,0%,0%
lebanese,behar,7,1%,11%,41%,3%,1%,1%,1%,0%,0%,0%,13%,23%,0%,3%,0%,1%
lebanese-christian,haber,25,0%,10%,49%,0%,0%,0%,0%,1%,0%,1%,12%,23%,1%,2%,0%,0%
lebanese-druze,haber,25,1%,11%,50%,0%,0%,0%,0%,1%,0%,1%,11%,21%,1%,2%,1%,0%
lebanese-muslim,haber,25,1%,11%,45%,2%,0%,1%,0%,1%,1%,1%,11%,21%,1%,3%,1%,1%
lezgin,behar,18,0%,28%,47%,20%,0%,1%,0%,0%,1%,1%,1%,1%,0%,0%,0%,0%
libya,henn2012,17,0%,1%,11%,1%,0%,0%,0%,0%,0%,0%,27%,39%,0%,11%,0%,8%
lithuanian,behar,10,0%,7%,5%,72%,0%,0%,0%,0%,0%,0%,15%,0%,0%,0%,0%,0%
lodi,reich,5,59%,32%,1%,3%,1%,0%,1%,1%,0%,0%,1%,0%,0%,0%,0%,0%
