Ethnicity,Dataset,N,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
,,,S Indian,Baloch,Caucasian,NE Euro,SE Asian,Siberian,NE Asian,Papuan,American,Beringian,Mediterranean,SW Asian,San,E African,Pygmy,W African
nguni,xing,9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18%,9%,4%,70%
nihali,metspalu,2,72%,11%,0%,1%,9%,2%,0%,3%,0%,1%,1%,0%,0%,0%,0%,0%
nogai,yunusbayev,16,1%,14%,37%,19%,1%,11%,10%,0%,1%,1%,4%,1%,0%,0%,0%,0%
north-kannadi,chaubey,8,70%,20%,3%,1%,1%,0%,1%,1%,0%,1%,0%,0%,0%,0%,0%,0%
north-ossetian,harappa,1,0%,19%,45%,14%,1%,5%,3%,1%,1%,1%,4%,3%,1%,0%,1%,0%
north-ossetian,yunusbayev,15,0%,18%,56%,15%,0%,4%,3%,0%,1%,1%,1%,0%,0%,0%,0%,0%
nysha,reich,4,7%,0%,0%,1%,0%,9%,82%,1%,0%,0%,0%,0%,0%,0%,0%,0%
onge,reich,9,51%,0%,0%,1%,19%,2%,10%,11%,1%,0%,0%,0%,0%,2%,0%,0%
orcadian,hgdp,15,0%,12%,1%,53%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%
oriya-brahmin,harappa,2,45%,35%,2%,8%,2%,1%,1%,1%,1%,1%,3%,0%,0%,0%,0%,0%
oromo,pagani,21,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,4%,29%,1%,57%,0%,0%
oroqen,hgdp,9,0%,0%,0%,0%,3%,45%,47%,0%,0%,4%,0%,0%,0%,0%,0%,0%
palestinian,harappa,2,1%,15%,40%,2%,0%,1%,0%,0%,0%,0%,10%,25%,0%,3%,0%,1%
palestinian,hgdp,46,1%,7%,39%,1%,0%,0%,0%,0%,0%,0%,12%,31%,0%,5%,0%,2%
paniya,chaubey,3,84%,0%,3%,0%,4%,2%,2%,4%,1%,0%,0%,0%,0%,0%,0%,0%
papuan,hgdp,17,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%
parsi,harappa,1,16%,28%,28%,5%,1%,1%,0%,0%,1%,2%,4%,12%,1%,1%,0%,0%
pashtun,harappa,7,19%,34%,20%,11%,1%,3%,2%,1%,2%,2%,1%,4%,1%,0%,0%,0%
pathan,hgdp,23,23%,42%,16%,11%,1%,2%,1%,0%,1%,1%,1%,2%,0%,0%,0%,0%
pedi,xing,10,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,1%,0%,17%,7%,4%,71%
peruvian,1000genomes,69,0%,1%,2%,4%,0%,0%,0%,0%,79%,0%,9%,1%,0%,0%,0%,1%
pima,hgdp,13,0%,0%,0%,0%,0%,1%,0%,0%,95%,3%,0%,0%,0%,0%,0%,0%
piramalai-kallar,metspalu,8,63%,30%,2%,0%,1%,0%,1%,1%,0%,0%,0%,1%,0%,0%,0%,0%
puerto-rican,1000genomes,76,0%,5%,7%,20%,0%,0%,0%,0%,14%,0%,35%,5%,0%,1%,0%,10%
puerto-rican,bryc,26,0%,4%,6%,16%,0%,0%,0%,0%,15%,0%,30%,5%,0%,1%,1%,19%
pulliyar,metspalu,5,83%,0%,9%,0%,1%,1%,2%,2%,1%,1%,0%,0%,0%,0%,0%,0%
punjabi,harappa,13,33%,39%,11%,8%,1%,1%,1%,1%,1%,1%,1%,2%,0%,0%,0%,0%
punjabi-arain,xing,25,31%,44%,10%,7%,1%,1%,0%,1%,1%,0%,2%,2%,0%,0%,0%,0%
punjabi-brahmin,harappa,3,34%,39%,10%,11%,0%,2%,0%,0%,1%,1%,1%,1%,0%,0%,0%,0%
punjabi-jatt-muslim,harappa,5,30%,39%,12%,8%,1%,1%,0%,2%,1%,3%,1%,2%,1%,0%,0%,0%
punjabi-jatt-sikh,harappa,15,28%,39%,10%,12%,0%,1%,0%,1%,1%,1%,2%,2%,0%,0%,0%,0%
punjabi-khatri,harappa,3,29%,38%,15%,10%,0%,1%,0%,1%,2%,2%,0%,2%,0%,0%,0%,0%
punjabi-ramgarhia,harappa,2,34%,42%,8%,9%,0%,2%,1%,0%,0%,1%,2%,1%,0%,0%,0%,0%
pushtikar-brahmin,harappa,1,31%,36%,12%,10%,2%,3%,0%,1%,1%,0%,2%,1%,0%,0%,1%,0%
pygmy,xing,22,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
qatari,henn2012,156,3%,9%,17%,3%,1%,0%,0%,0%,0%,0%,2%,54%,0%,4%,1%,5%
rajasthani,harappa,4,48%,35%,5%,4%,0%,1%,1%,1%,0%,1%,0%,1%,0%,0%,0%,0%
rajasthani-brahmin,harappa,2,34%,36%,8%,12%,0%,1%,1%,1%,1%,1%,3%,0%,0%,1%,0%,0%
rajasthani-jatt,harappa,2,25%,35%,11%,15%,0%,1%,0%,1%,2%,1%,4%,2%,1%,0%,0%,0%
romanian-a,behar,14,1%,6%,26%,36%,0%,1%,0%,0%,0%,0%,23%,5%,0%,0%,0%,0%
romanian-b,behar,2,22%,13%,26%,14%,1%,0%,0%,1%,0%,0%,14%,7%,0%,0%,0%,0%
russian,behar,2,1%,4%,13%,64%,1%,3%,0%,1%,1%,1%,13%,0%,0%,0%,0%,0%
russian,hgdp,25,1%,7%,6%,64%,0%,7%,0%,0%,1%,1%,12%,1%,0%,0%,0%,0%
saharawi,henn2012,18,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,39%,35%,0%,13%,0%,12%
sahariya,reich,4,64%,11%,0%,3%,16%,1%,0%,2%,1%,1%,1%,1%,0%,1%,0%,0%
sakilli,chaubey,4,68%,26%,1%,0%,1%,0%,1%,1%,0%,0%,0%,1%,0%,0%,0%,0%
samaritian,behar,2,1%,5%,48%,0%,0%,0%,0%,0%,0%,0%,13%,32%,0%,1%,0%,0%
samoan,xing,13,0%,0%,0%,0%,70%,1%,0%,27%,0%,0%,1%,0%,0%,0%,0%,0%
san,henn2011,31,2%,1%,0%,3%,1%,0%,0%,0%,0%,0%,2%,2%,79%,2%,0%,7%
san,hgdp,6,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%
san-nb,henn2011,12,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,97%,1%,0%,2%
sandawe,henn2011,23,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,11%,12%,49%,8%,17%
santhal,chaubey,1,73%,5%,0%,0%,15%,1%,2%,3%,1%,0%,0%,0%,0%,0%,0%,0%
santhal,reich,7,72%,5%,0%,0%,17%,1%,0%,2%,0%,1%,0%,0%,0%,0%,0%,0%
sardinian,hgdp,28,0%,0%,20%,12%,0%,0%,0%,0%,0%,0%,60%,7%,0%,0%,0%,0%
satnami,reich,4,63%,21%,1%,2%,7%,0%,1%,1%,1%,0%,1%,0%,0%,1%,0%,0%
saudi,behar,20,1%,5%,26%,1%,0%,0%,0%,0%,0%,0%,3%,58%,0%,3%,0%,1%
savara,chaubey,2,69%,0%,0%,1%,24%,3%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%
selkup,rasmussen,10,0%,8%,0%,27%,0%,52%,0%,0%,3%,8%,1%,0%,0%,0%,0%,0%
sephardic-jew,behar,19,1%,7%,36%,9%,0%,0%,0%,0%,0%,0%,26%,18%,0%,1%,0%,0%
serbian,harappa,1,0%,8%,23%,42%,1%,0%,0%,0%,0%,0%,22%,3%,0%,0%,0%,0%
she,hgdp,10,0%,0%,0%,0%,35%,0%,65%,0%,0%,0%,0%,0%,0%,0%,0%,0%
siddi,reich,4,16%,10%,3%,2%,1%,1%,1%,0%,1%,0%,0%,1%,3%,8%,4%,50%
sindhi,harappa,2,27%,41%,14%,9%,0%,2%,1%,1%,1%,1%,0%,3%,0%,0%,0%,0%
sindhi,hgdp,24,29%,46%,10%,6%,0%,1%,0%,0%,1%,1%,2%,3%,0%,0%,0%,1%
singapore-chinese,sgvp,96,0%,0%,0%,0%,36%,0%,63%,0%,0%,0%,0%,0%,0%,0%,0%,0%
singapore-indian-a,sgvp,31,62%,30%,2%,0%,1%,0%,1%,1%,0%,0%,0%,1%,0%,0%,0%,0%
singapore-indian-b,sgvp,41,50%,36%,4%,4%,1%,0%,1%,0%,0%,1%,1%,1%,0%,0%,0%,0%
singapore-indian-c,sgvp,10,34%,41%,9%,10%,1%,0%,1%,0%,1%,1%,1%,1%,0%,0%,0%,0%
singapore-indian-d,sgvp,1,28%,14%,5%,35%,1%,1%,3%,1%,1%,0%,10%,0%,0%,0%,0%,0%
singapore-malay,sgvp,89,11%,1%,1%,0%,72%,3%,6%,4%,0%,0%,0%,0%,0%,0%,0%,0%
singapore-tamil,harappa,1,56%,30%,3%,0%,1%,2%,1%,2%,1%,1%,0%,2%,0%,2%,0%,0%
sinhalese,harappa,4,56%,31%,2%,1%,2%,1%,1%,1%,1%,0%,0%,1%,0%,0%,0%,0%
slovenian,xing,25,1%,6%,15%,51%,0%,0%,0%,0%,0%,0%,23%,3%,0%,0%,0%,0%
somali,harappa,2,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,2%,32%,2%,60%,0%,0%
somali,pagani,23,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,3%,29%,0%,63%,0%,0%
somali,reich,6,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,27%,1%,60%,1%,4%
sotho-tswana,xing,8,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,4%,4%,64%
sourastrian,harappa,1,53%,32%,5%,5%,2%,2%,0%,1%,1%,0%,1%,0%,0%,0%,0%,0%
south-african-indian,harappa,1,56%,29%,2%,2%,2%,3%,1%,2%,0%,2%,1%,1%,1%,1%,0%,0%
spain-basc,henn2012,20,0%,8%,1%,33%,0%,0%,0%,0%,0%,0%,56%,1%,0%,0%,0%,0%
spaniard,1000genomes,98,1%,6%,10%,31%,0%,0%,0%,0%,0%,0%,45%,5%,0%,1%,0%,0%
spaniard,behar,12,0%,7%,11%,32%,0%,0%,0%,0%,0%,0%,44%,5%,0%,0%,0%,0%
sri-lankan,harappa,2,51%,28%,3%,4%,2%,1%,2%,0%,1%,0%,5%,2%,0%,0%,0%,0%
srivastava,reich,2,51%,32%,3%,8%,1%,1%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%
stalskoe,xing,5,0%,24%,41%,21%,2%,3%,1%,1%,2%,1%,4%,2%,0%,0%,0%,0%
sudanese,pagani,21,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,84%,1%,14%
surui,hgdp,6,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
syrian,behar,16,2%,12%,41%,3%,0%,0%,0%,0%,0%,0%,10%,25%,0%,3%,0%,2%
tajik,harappa,1,6%,19%,16%,15%,0%,12%,20%,1%,2%,3%,3%,1%,1%,0%,0%,0%
tajik,yunusbayev,15,7%,32%,21%,17%,1%,6%,7%,0%,1%,1%,4%,3%,0%,0%,0%,0%
tamil,harappa,3,53%,32%,5%,1%,1%,2%,1%,1%,1%,0%,0%,2%,0%,1%,0%,0%
tamil-nadar,harappa,5,57%,31%,2%,0%,2%,1%,1%,2%,1%,1%,0%,2%,0%,0%,0%,0%
tamil-nadu-scheduled-caste,metspalu,2,59%,32%,3%,0%,2%,0%,1%,1%,0%,0%,0%,2%,0%,0%,0%,0%
tamil-srilankan,harappa,5,58%,33%,3%,0%,1%,0%,2%,2%,0%,0%,1%,1%,0%,0%,0%,0%
tamil-vishwakarma,harappa,2,68%,24%,2%,0%,1%,1%,2%,1%,0%,0%,0%,1%,0%,0%,0%,0%
thai,xing,21,14%,2%,2%,1%,61%,3%,12%,2%,1%,0%,0%,0%,0%,0%,0%,0%
tharu,metspalu,2,54%,34%,3%,4%,1%,0%,1%,0%,1%,1%,1%,0%,0%,0%,0%,0%
tharu,reich,7,58%,23%,4%,3%,5%,1%,1%,1%,0%,1%,1%,0%,0%,0%,0%,0%
tibet,simonson,31,6%,0%,0%,1%,0%,12%,78%,1%,0%,0%,0%,0%,0%,0%,0%,0%
tn-brahmin,xing,14,47%,38%,6%,4%,0%,1%,0%,1%,1%,1%,1%,1%,0%,0%,0%,0%
tn-dalit,xing,12,73%,22%,1%,0%,1%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%
tongan,xing,13,0%,0%,0%,0%,66%,1%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%
totonac,xing,23,0%,0%,0%,1%,0%,1%,1%,0%,95%,1%,1%,0%,0%,0%,0%,0%
tu,hgdp,10,3%,1%,2%,2%,7%,9%,72%,1%,1%,0%,0%,0%,0%,0%,0%,0%
tujia,hgdp,10,0%,0%,0%,0%,30%,2%,68%,0%,0%,0%,0%,0%,0%,0%,0%,0%
tunisia,henn2012,18,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,52%,27%,0%,14%,0%,5%
turk,behar,19,1%,16%,47%,9%,0%,4%,2%,0%,1%,1%,10%,10%,0%,0%,0%,0%
turk-aydin,hodoglugil,20,1%,12%,38%,14%,0%,6%,4%,0%,0%,1%,14%,9%,0%,0%,0%,0%
turk-istanbul,hodoglugil,20,1%,16%,45%,11%,1%,3%,3%,0%,0%,1%,11%,9%,0%,0%,0%,0%
turk-kayseri,hodoglugil,23,1%,15%,45%,8%,1%,4%,2%,0%,0%,1%,11%,10%,0%,0%,0%,0%
turkish,harappa,11,2%,17%,40%,9%,1%,4%,2%,1%,1%,1%,11%,11%,1%,1%,0%,0%
turkmen,yunusbayev,11,5%,26%,30%,10%,1%,7%,8%,0%,1%,1%,4%,7%,0%,0%,0%,0%
tuscan,1000genomes,11,0%,6%,29%,24%,0%,0%,0%,0%,0%,0%,32%,8%,0%,0%,0%,0%
tuscan,hapmap,102,0%,6%,28%,24%,0%,0%,0%,0%,0%,0%,33%,7%,0%,0%,0%,0%
tuscan,hgdp,8,0%,6%,29%,24%,0%,0%,0%,0%,0%,0%,33%,7%,0%,0%,0%,0%
tuvinian,rasmussen,14,1%,4%,2%,6%,0%,50%,30%,1%,1%,4%,1%,0%,0%,0%,0%,0%
tygray,pagani,21,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,5%,33%,0%,49%,0%,0%
ukranian,yunusbayev,20,1%,6%,12%,58%,0%,1%,0%,0%,0%,0%,17%,2%,0%,0%,0%,0%
up,harappa,4,48%,34%,4%,5%,2%,2%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%
up-brahmin,harappa,4,39%,37%,7%,11%,0%,1%,0%,1%,0%,1%,2%,0%,0%,0%,0%,0%
up-kshatriya,metspalu,7,45%,37%,4%,8%,1%,1%,0%,0%,1%,0%,2%,0%,0%,0%,0%,0%
up-muslim,harappa,9,34%,33%,11%,8%,2%,2%,1%,1%,1%,1%,2%,2%,0%,0%,0%,0%
up-muslim,metspalu,5,53%,33%,3%,5%,1%,0%,2%,1%,0%,1%,1%,0%,0%,0%,0%,0%
up-scheduled-caste,metspalu,5,58%,31%,1%,4%,1%,1%,1%,0%,0%,1%,2%,1%,0%,0%,0%,0%
urkarah,xing,18,0%,28%,43%,24%,0%,1%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%
utahn-white,1000genomes,100,0%,10%,5%,51%,0%,0%,0%,0%,0%,0%,32%,1%,0%,0%,0%,0%
utahn-white,hapmap,18,0%,10%,5%,53%,0%,0%,0%,0%,0%,0%,31%,1%,0%,0%,0%,0%
uyghur,hgdp,10,5%,16%,13%,12%,2%,15%,30%,0%,1%,2%,2%,1%,0%,0%,0%,0%
uzbek,behar,15,5%,18%,17%,14%,0%,17%,20%,0%,1%,2%,4%,2%,0%,0%,0%,0%
uzbekistan-jew,behar,2,1%,21%,46%,4%,0%,0%,0%,1%,0%,0%,7%,18%,0%,0%,0%,0%
vaish,reich,4,44%,35%,4%,10%,0%,1%,0%,1%,1%,0%,2%,1%,0%,0%,0%,0%
velama,metspalu,10,56%,37%,3%,0%,1%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%
velama,reich,3,57%,36%,4%,0%,0%,1%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%
vietnamese,xing,7,1%,0%,0%,0%,58%,0%,38%,1%,0%,0%,0%,0%,0%,0%,0%,0%
vysya,reich,5,64%,32%,1%,0%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%
west-greenlander,rasmussen,10,0%,2%,1%,21%,0%,0%,0%,0%,9%,57%,9%,1%,0%,0%,0%,0%
wolayta,pagani,8,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,3%,25%,2%,63%,0%,0%
xhosa,henn2012,3,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,9%,3%,61%
xibo,hgdp,9,1%,1%,2%,1%,6%,21%,66%,0%,0%,1%,0%,0%,0%,0%,0%,0%
yakut,hgdp,25,0%,3%,1%,2%,1%,73%,17%,0%,1%,0%,1%,0%,0%,0%,0%,0%
yemen-jew,behar,15,1%,2%,36%,0%,0%,0%,0%,0%,0%,0%,6%,51%,0%,4%,0%,0%
yemenese,behar,8,2%,8%,27%,1%,0%,0%,0%,0%,0%,1%,5%,36%,0%,8%,1%,9%
yi,hgdp,10,4%,0%,0%,0%,16%,6%,73%,1%,0%,0%,0%,0%,0%,0%,0%,0%
yoruba,1000genomes,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
yoruba,hapmap,138,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,99%
yoruba,hgdp,21,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,99%
yukaghir,rasmussen,6,0%,2%,3%,15%,0%,54%,8%,0%,0%,12%,5%,0%,0%,0%,0%,0%
