BMAK:I11026,0.086506,0.092413,-0.119924,-0.003876,-0.091094,0.020638,0.021386,0.011769,-0.052563,-0.036812,0.005034,-0.001199,0.009514,-0.001789,0.007736,0.011535,-0.021905,-0.001774,0.005531,-0.017884,-0.002745,-0.005935,-0.001849,-0.0194,0.013292
BMAK:I11027,0.078538,0.079211,-0.114645,0.014535,-0.093556,0.01506,0.013631,-0.004154,-0.061971,-0.046106,-0.002111,0.004196,0.000297,-0.011973,0.016151,0.022142,-0.011995,0.000507,0.00264,-0.019509,-0.004991,-0.013973,0.006532,-0.026751,0.009819
BMAK:I4157,0.076261,0.078196,-0.116153,0.020672,-0.097864,0.019801,0.00235,-0.005077,-0.060744,-0.037905,0.007632,0.000749,0.003717,-0.001927,0.016015,0.018563,-0.022426,0.003801,0.015335,-0.025262,0.010856,-0.012736,-0.010476,-0.021449,0.003113
BMAK:I4159,0.083091,0.078196,-0.115399,-0.00646,-0.088632,0.021475,0.002585,-0.015922,-0.055017,-0.027518,-0.000487,-0.003297,0.007582,-0.002477,0.000271,0.035269,0.011604,0.000253,0.001508,-0.024887,-0.004617,-0.008532,-0.007395,-0.016629,-0.002515
BMAK:I5604,0.084229,0.07718,-0.109742,0.001615,-0.099095,0.018128,0.00799,0.004615,-0.06463,-0.041185,-0.000325,-0.002098,-0.004906,-0.005918,0.019951,0.025457,-0.009257,0.00266,0.009176,-0.027638,-0.000998,-0.014591,-0.001109,-0.017593,0.00958
BMAK:I5605,0.085367,0.076165,-0.112005,0.009044,-0.089863,0.022032,0.002115,-0.003461,-0.055221,-0.028611,0.000162,3.00E-04,0.006392,-0.012524,0.002036,0.019756,0.002217,0.011909,0.012193,-0.011506,-0.004742,-0.017311,-0.008258,-0.017834,0.011496
BMAK:I4161,0.086506,0.078196,-0.103708,0.011305,-0.097557,0.025937,-0.001175,-0.01223,-0.065652,-0.031891,-0.003897,-0.003147,-0.005798,-0.003716,0.027958,0.016971,-0.011213,-0.004054,-0.002137,-0.024387,0.002745,-0.006801,-0.001109,-0.012291,0.006826
BMAK:I4163,0.079676,0.074134,-0.115022,0.015181,-0.094479,0.018965,0.00752,-0.009461,-0.062789,-0.035354,-0.002761,0.003597,-0.003122,-0.012799,0.024701,0.020949,-0.008736,0.004687,-0.000251,-0.015758,-0.004367,-0.017806,0.001602,-0.012532,0.011017
BMAK:I4312,0.083091,0.085304,-0.108234,0.003553,-0.096941,0.021196,0.003055,-0.012692,-0.061971,-0.043919,-0.002111,-0.002847,0.004757,-0.00867,0.024158,0.030363,-0.013299,0.006334,0.005405,-0.029639,0.001248,-0.016075,-0.005176,-0.021449,0.006826
BMAK:I4313,0.084229,0.07718,-0.102954,0.007752,-0.093556,0.018407,0.012221,-0.004846,-0.059925,-0.035718,-0.003897,-0.002248,0.007284,-0.015964,0.011401,0.034606,0.005346,0.002787,0.00729,-0.017508,-0.002246,-0.015457,-0.003451,-0.01205,0.007424
BMAK:I4315,0.079676,0.069056,-0.111251,0.016796,-0.098172,0.022869,0.00329,-0.010615,-0.062789,-0.046106,0.01023,-0.003597,-0.005798,-0.013487,0.018187,0.028374,0.002217,0.004181,0.002011,-0.024887,0.004617,-0.01014,0.008504,-0.005784,0.004311
BMAK:I7411,0.080814,0.07718,-0.104462,0.014535,-0.096018,0.025658,-0.001175,-0.008307,-0.050517,-0.039727,0.001624,-0.00015,0.002081,-0.0139,0.021715,0.019093,-0.014081,-0.003801,-0.000503,-0.01038,-0.000873,-0.002597,-0.004683,-0.024341,0.013532
BMAK:I7412,0.075123,0.082258,-0.117662,-0.004199,-0.104635,0.019801,0.006815,-0.007615,-0.063811,-0.03991,0.01088,-0.009292,-0.001189,-0.009909,0.010315,0.038981,0.00691,0,0.007165,-0.014257,0.003244,-0.013354,-0.005176,-0.022292,0.006826
BMAK:I4285,0.076261,0.089367,-0.112759,-0.013243,-0.090171,0.019243,0.008225,0.004384,-0.067084,-0.035718,0.002273,-0.00045,-0.004162,0.00578,0.003529,0.02201,-0.016168,0.005954,0.001006,-0.025637,-0.00025,-0.013354,0.0053,-0.015906,0.007185
BMAK:I4286,0.084229,0.090382,-0.115022,-0.000323,-0.082477,0.016733,0.004935,-0.007846,-0.071992,-0.038634,-0.001786,0.001499,-0.005798,-0.005643,0.018458,0.039114,0.007693,-0.006588,0.007165,-0.015132,0.006114,-0.009521,0.006039,-0.013857,0.011256
BMAK:I4288,0.075123,0.094444,-0.111628,-0.010013,-0.09294,0.015339,0.00564,0.000923,-0.057471,-0.034989,-0.00682,-0.003747,-0.011596,-0.012799,0.012622,0.023999,-0.005085,0.004941,0.00993,-0.013131,-0.00574,-0.011376,0.002342,-0.013375,0.010179
BMAK:I4289,0.079676,0.085304,-0.112759,-0.007752,-0.088632,0.014223,0.007755,-0.008077,-0.053994,-0.030433,-0.005684,-0.002698,0.005352,0,0.010858,0.027048,-0.009518,0.005321,0.007542,-0.022011,0.001497,-0.013725,0.005669,-0.017593,0.015687
BMAK:I7414,0.07057,0.071087,-0.131992,0.010982,-0.093556,0.021475,0.004935,-0.003231,-0.053176,-0.03262,-0.001299,0.000749,-0.007582,-0.007432,0.019815,0.041235,0.008605,0.006714,0.004651,-0.023011,0.00836,-0.019166,-0.000739,-0.016749,0.005029
