standard_name	group	panel_name
Anatolia_BA:Turkey_MLBA:ALA018	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA020	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA023	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA025	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA026	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA028	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA029	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA030	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA034	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA035	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA037	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA039	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA084	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA095	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA110_noUDG	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA118	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA120	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA123	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA124	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA128_noUDG	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA130_noUDG	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA131_noUDG	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA135_noUDG	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA136_noUDG	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MLBA:ALA138_noUDG	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MBA:I14759	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MBA:I14761	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MBA:I14762	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MBA:I14784	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MBA:I14786	Anatolia_BA	Steppe
Anatolia_BA:Turkey_MBA:I14788	Anatolia_BA	Steppe
Maikop:LateMaikopMK5004	Maikop	Steppe
Maikop:LateMaikopSA6002	Maikop	Steppe
Maikop:NovosvobodnayaI6266	Maikop	Steppe
Maikop:NovosvobodnayaI6267	Maikop	Steppe
Maikop:NovosvobodnayaI6268	Maikop	Steppe
Maikop:NovosvobodnayaI6272	Maikop	Steppe
Maikop:OSS001	Maikop	Steppe
KuraAraxes:BerkaberI14339	KuraAraxes	Steppe
KuraAraxes:BerkaberI14341	KuraAraxes	Steppe
KuraAraxes:BerkaberI15132	KuraAraxes	Steppe
KuraAraxes:BerkaberI16920	KuraAraxes	Steppe
KuraAraxes:KalavanI1633	KuraAraxes	Steppe
KuraAraxes:KalavanI1635	KuraAraxes	Steppe
KuraAraxes:KapsARM001	KuraAraxes	Steppe
KuraAraxes:KapsARM002	KuraAraxes	Steppe
KuraAraxes:KarnutI13599	KuraAraxes	Steppe
KuraAraxes:TalinI1658	KuraAraxes	Steppe
KuraAraxes:VEK007	KuraAraxes	Steppe
Yamnaya:Kazakhstan_EBA_Yamnaya.SG:Damgaard2018Yamnaya_noUDG.SG	Yamnaya	Steppe
Yamnaya:Russia_Kalmykia_EBA_Yamnaya.SG:RISE240_noUDG.SG	Yamnaya	Steppe
Yamnaya:Russia_Kalmykia_EBA_Yamnaya.SG:RISE546_noUDG.SG	Yamnaya	Steppe
Yamnaya:Russia_Kalmykia_EBA_Yamnaya.SG:RISE547_noUDG.SG	Yamnaya	Steppe
Yamnaya:Russia_Kalmykia_EBA_Yamnaya.SG:RISE550_noUDG.SG	Yamnaya	Steppe
Yamnaya:Russia_Kalmykia_EBA_Yamnaya.SG:RISE552_noUDG.SG	Yamnaya	Steppe
Yamnaya:I0231	Yamnaya	Steppe
Yamnaya:I0357	Yamnaya	Steppe
Yamnaya:I0370	Yamnaya	Steppe
Yamnaya:I0429	Yamnaya	Steppe
Yamnaya:I0438	Yamnaya	Steppe
Yamnaya:I0439	Yamnaya	Steppe
Yamnaya:I0443	Yamnaya	Steppe
Yamnaya:I0444	Yamnaya	Steppe
Yamnaya:I7489	Yamnaya	Steppe
Yamnaya:I18793	Yamnaya	Steppe
Yamnaya:I18794	Yamnaya	Steppe
Yamnaya:I2105	Yamnaya	Steppe
Yamnaya:I3141_enhanced	Yamnaya	Steppe
Yamnaya:I11446	Yamnaya	Steppe
Yamnaya:RK1001	Yamnaya	Steppe
Yamnaya:RK1007	Yamnaya	Steppe
Yamnaya:ZO2002	Yamnaya	Steppe
Ulaanzukh:I12972	Ulaanzukh	Steppe
Ulaanzukh:I13964	Ulaanzukh	Steppe
Ulaanzukh:I14037	Ulaanzukh	Steppe
Khovsgol:ARS001.A0101	Khovsgol	Steppe
Khovsgol:ARS002.B0101	Khovsgol	Steppe
Khovsgol:ARS003.B0101	Khovsgol	Steppe
Khovsgol:ARS004.A0101	Khovsgol	Steppe
Khovsgol:ARS005.A0101	Khovsgol	Steppe
Khovsgol:ARS006.A0101	Khovsgol	Steppe
Khovsgol:ARS007.B0101	Khovsgol	Steppe
Khovsgol:ARS008.A0101	Khovsgol	Steppe
Khovsgol:ARS009.A0101	Khovsgol	Steppe
Khovsgol:ARS012.A0101	Khovsgol	Steppe
Khovsgol:ARS013.A0101	Khovsgol	Steppe
Khovsgol:ARS014.B0101	Khovsgol	Steppe
Khovsgol:ARS015.A0101	Khovsgol	Steppe
Khovsgol:ARS016.A0101	Khovsgol	Steppe
Khovsgol:ARS017.A0101	Khovsgol	Steppe
Khovsgol:ARS024.A0101	Khovsgol	Steppe
Khovsgol:ARS025.A0101	Khovsgol	Steppe
Khovsgol:ARS026.A0101	Khovsgol	Steppe
YR:HJTM115_noUDG	YR	Steppe
YR:JXNTM2_noUDG	YR	Steppe
YR:JXNTM23_noUDG	YR	Steppe
YR:LGM41_noUDG	YR	Steppe
YR:LGM79_noUDG	YR	Steppe
BMAK:I11026	BMAK	Steppe
BMAK:I11027	BMAK	Steppe
BMAK:I4157	BMAK	Steppe
BMAK:I4159	BMAK	Steppe
BMAK:I5604	BMAK	Steppe
BMAK:I5605	BMAK	Steppe
BMAK:I4161	BMAK	Steppe
BMAK:I4163	BMAK	Steppe
BMAK:I4312	BMAK	Steppe
BMAK:I4313	BMAK	Steppe
BMAK:I4315	BMAK	Steppe
BMAK:I7411	BMAK	Steppe
BMAK:I7412	BMAK	Steppe
BMAK:I4285	BMAK	Steppe
BMAK:I4286	BMAK	Steppe
BMAK:I4288	BMAK	Steppe
BMAK:I4289	BMAK	Steppe
BMAK:I7414	BMAK	Steppe
BMAK:I7416	BMAK	Steppe
BMAK:I7419	BMAK	Steppe
BMAK:I7420	BMAK	Steppe
BMAK:I7421	BMAK	Steppe
BMAK:I7492	BMAK	Steppe
BMAK:I7542	BMAK	Steppe
BMAK:I10410	BMAK	Steppe
BMAK:I10411	BMAK	Steppe
BMAK:I1781	BMAK	Steppe
BMAK:I1782	BMAK	Steppe
BMAK:I1784	BMAK	Steppe
BMAK:I1788	BMAK	Steppe
BMAK:I1790	BMAK	Steppe
BMAK:I1793	BMAK	Steppe
BMAK:I2085	BMAK	Steppe
BMAK:I2116	BMAK	Steppe
BMAK:I2121	BMAK	Steppe
BMAK:I3374	BMAK	Steppe
Baltic_BA:Estonia_BA.SG:s19_0LS11_1_noUDG.SG	Baltic_BA	Steppe
Baltic_BA:Estonia_BA.SG:s19_V14_2_noUDG.SG	Baltic_BA	Steppe
Baltic_BA:Estonia_BA.SG:s19_V16_1_noUDG.SG	Baltic_BA	Steppe
Baltic_BA:Estonia_BA.SG:s19_V9_2_noUDG.SG	Baltic_BA	Steppe
Baltic_BA:Estonia_BA.SG:s19_X08_1_noUDG.SG	Baltic_BA	Steppe
Baltic_BA:Estonia_BA.SG:s19_X10_1_noUDG.SG	Baltic_BA	Steppe
Baltic_BA:Estonia_BA.SG:s19_X11_1_noUDG.SG	Baltic_BA	Steppe
Baltic_BA:Estonia_BA.SG:s19_X14_1_noUDG.SG	Baltic_BA	Steppe
Baltic_BA:Estonia_BA.SG:s19_X15_2_noUDG.SG	Baltic_BA	Steppe
Baltic_BA:Estonia_BA.SG:s19_X17_2_noUDG.SG	Baltic_BA	Steppe
Baltic_BA:Latvia_BA:Kivutkalns153	Baltic_BA	Steppe
Baltic_BA:Latvia_BA:Kivutkalns19	Baltic_BA	Steppe
Baltic_BA:Latvia_BA:Kivutkalns194	Baltic_BA	Steppe
Baltic_BA:Latvia_BA:Kivutkalns207	Baltic_BA	Steppe
Baltic_BA:Latvia_BA:Kivutkalns209	Baltic_BA	Steppe
Baltic_BA:Latvia_BA:Kivutkalns215	Baltic_BA	Steppe
Baltic_BA:Latvia_BA:Kivutkalns222	Baltic_BA	Steppe
Baltic_BA:Latvia_BA:Kivutkalns25	Baltic_BA	Steppe
Baltic_BA:Latvia_BA:Kivutkalns42	Baltic_BA	Steppe
Baltic_BA:Lithuania_BA:Turlojiske1	Baltic_BA	Steppe
Baltic_BA:Lithuania_BA:Turlojiske3	Baltic_BA	Steppe
