standard_name	group	panel_name
Steppe:Russia_Srubnaya_Alakul.SG:kzb001_noUDG.SG	Steppe	3-way
Steppe:Russia_Srubnaya_Alakul.SG:kzb002.SG	Steppe	3-way
Steppe:Russia_Srubnaya_Alakul.SG:kzb006_noUDG.SG	Steppe	3-way
Steppe:Russia_Srubnaya_Alakul.SG:kzb007_noUDG.SG	Steppe	3-way
Steppe:Russia_Srubnaya_Alakul.SG:kzb008_noUDG.SG	Steppe	3-way
Steppe:Russia_Srubnaya_Alakul.SG:kzb009_noUDG.SG	Steppe	3-way
Steppe:Russia_Srubnaya_Alakul.SG:mur003_noUDG.SG	Steppe	3-way
Steppe:Russia_Srubnaya_Alakul.SG:mur004_noUDG.SG	Steppe	3-way
Steppe:Russia_MLBA_Sintashta.SG:RISE386_noUDG.SG	Steppe	3-way
Steppe:Russia_MLBA_Sintashta.SG:RISE392_noUDG.SG	Steppe	3-way
Steppe:Russia_MLBA_Sintashta.SG:RISE394_noUDG.SG	Steppe	3-way
Steppe:Russia_MLBA_Sintashta.SG:RISE395_noUDG.SG	Steppe	3-way
Steppe:Srubnaya:I0232	Steppe	3-way
Steppe:Srubnaya:I0234	Steppe	3-way
Steppe:Srubnaya:I0235	Steppe	3-way
Steppe:Srubnaya:I0358	Steppe	3-way
Steppe:Srubnaya:I0359	Steppe	3-way
Steppe:Srubnaya:I0361	Steppe	3-way
Steppe:Srubnaya:I0422	Steppe	3-way
Steppe:Srubnaya:I0423	Steppe	3-way
Steppe:Srubnaya:I0424	Steppe	3-way
Steppe:Srubnaya:I0430	Steppe	3-way
Steppe:Srubnaya:I0431	Steppe	3-way
Steppe:Alakul:I6789	Steppe	3-way
Steppe:Alakul:I6790	Steppe	3-way
Steppe:Alakul:I6791	Steppe	3-way
Steppe:Alakul:I6793	Steppe	3-way
Steppe:Alakul:I6794	Steppe	3-way
Steppe:Alakul:I6796	Steppe	3-way
Steppe:Alakul:I6797	Steppe	3-way
Steppe:Alakul:I6788	Steppe	3-way
Steppe:Alakul:I6800	Steppe	3-way
Steppe:Alakul:I6799	Steppe	3-way
Steppe:Sintashta:I0939	Steppe	3-way
Steppe:Sintashta:I0942	Steppe	3-way
Steppe:Sintashta:I0943	Steppe	3-way
Steppe:Sintashta:I0984	Steppe	3-way
Steppe:Sintashta:I0986	Steppe	3-way
Steppe:Sintashta:I0989	Steppe	3-way
Steppe:Sintashta:I1008	Steppe	3-way
Steppe:Sintashta:I1011	Steppe	3-way
Steppe:Sintashta:I1012	Steppe	3-way
Steppe:Sintashta:I1018	Steppe	3-way
Steppe:Sintashta:I1019	Steppe	3-way
Steppe:Sintashta:I1022	Steppe	3-way
Steppe:Sintashta:I1024	Steppe	3-way
Steppe:Sintashta:I1027	Steppe	3-way
Steppe:Sintashta:I1029	Steppe	3-way
Steppe:Sintashta:I1053	Steppe	3-way
Steppe:Sintashta:I1055	Steppe	3-way
Steppe:Sintashta:I1060	Steppe	3-way
Steppe:Sintashta:I1061	Steppe	3-way
Steppe:Sintashta:I1062	Steppe	3-way
Steppe:Sintashta:I1063	Steppe	3-way
Steppe:Sintashta:I1064	Steppe	3-way
Steppe:Sintashta:I1065	Steppe	3-way
Steppe:Sintashta:I1082	Steppe	3-way
Steppe:Sintashta:I1084	Steppe	3-way
Steppe:Sintashta:I1086	Steppe	3-way
Steppe:Sintashta:I1088	Steppe	3-way
Steppe:Sintashta:I1089	Steppe	3-way
Steppe:Sintashta:I1090	Steppe	3-way
Steppe:Sintashta:I7480	Steppe	3-way
Maikop:LateMaikopMK5004	Maikop	3-way
Maikop:LateMaikopSA6002	Maikop	3-way
Maikop:NovosvobodnayaI6266	Maikop	3-way
Maikop:NovosvobodnayaI6267	Maikop	3-way
Maikop:NovosvobodnayaI6268	Maikop	3-way
Maikop:NovosvobodnayaI6272	Maikop	3-way
Maikop:OSS001	Maikop	3-way
YR:HJTM115_noUDG	YR	3-way
YR:JXNTM2_noUDG	YR	3-way
YR:JXNTM23_noUDG	YR	3-way
YR:LGM41_noUDG	YR	3-way
YR:LGM79_noUDG	YR	3-way
