standard_name	group	panel_name
Yamnaya:I7489	Yamnaya	4-way
Yamnaya:I18793	Yamnaya	4-way
Yamnaya:I18794	Yamnaya	4-way
Yamnaya:I2105	Yamnaya	4-way
Yamnaya:I3141_enhanced	Yamnaya	4-way
Yamnaya:I11446	Yamnaya	4-way
Yamnaya:RK1001	Yamnaya	4-way
Yamnaya:RK1007	Yamnaya	4-way
Yamnaya:ZO2002	Yamnaya	4-way
YR:HJTM115_noUDG	YR	4-way
YR:JXNTM2_noUDG	YR	4-way
YR:JXNTM23_noUDG	YR	4-way
YR:LGM41_noUDG	YR	4-way
YR:LGM79_noUDG	YR	4-way
